id	name	pop	fem	fem_2034	fem_singl_2034	p_fem_singl_2034
1	Aeugst am Albis	1981	994	129	92	71.31782946
2	Affoltern am Albis	11708	5890	1210	717	59.25619835
3	Bonstetten	5326	2712	451	312	69.17960089
4	Hausen am Albis	3477	1790	258	181	70.15503876
5	Hedingen	3660	1816	294	205	69.72789116
6	Kappel am Albis	1033	521	62	45	72.58064516
7	Knonau	2097	1034	151	106	70.1986755
8	Maschwanden	641	308	54	29	53.7037037
9	Mettmenstetten	4669	2313	382	265	69.37172775
10	Obfelden	5009	2508	421	254	60.33254157
11	Ottenbach	2569	1301	204	150	73.52941176
12	Rifferswil	1057	559	65	44	67.69230769
13	Stallikon	3455	1709	236	155	65.6779661
14	Wettswil am Albis	4920	2504	333	213	63.96396396
21	Adlikon	662	340	62	35	56.4516129
22	Benken (ZH)	860	423	67	45	67.1641791
23	Berg am Irchel	573	282	36	30	83.33333333
24	Buch am Irchel	966	494	83	53	63.85542169
25	Dachsen	1988	984	145	100	68.96551724
26	Dorf	624	312	57	40	70.1754386
27	Feuerthalen	3567	1788	335	202	60.29850746
28	Flaach	1359	669	115	82	71.30434783
29	Flurlingen	1438	709	103	83	80.58252427
30	Andelfingen	2170	1105	203	128	63.05418719
31	Henggart	2249	1176	178	125	70.2247191
32	Humlikon	504	254	38	32	84.21052632
33	Kleinandelfingen	2082	1046	156	103	66.02564103
34	Laufen-Uhwiesen	1634	817	93	70	75.2688172
35	Marthalen	1956	984	187	133	71.12299465
36	Oberstammheim	1174	588	80	49	61.25
37	Ossingen	1426	700	113	75	66.37168142
38	Rheinau	1321	667	94	69	73.40425532
39	Thalheim an der Thur	904	437	66	49	74.24242424
40	Trüllikon	1015	482	75	50	66.66666667
41	Truttikon	473	246	27	17	62.96296296
42	Unterstammheim	926	462	63	45	71.42857143
43	Volken	339	164	26	14	53.84615385
44	Waltalingen	678	342	51	33	64.70588235
51	Bachenbülach	4034	2024	325	202	62.15384615
52	Bassersdorf	11580	5765	1085	661	60.92165899
53	Bülach	19393	9819	2190	1336	61.00456621
54	Dietlikon	7625	3871	748	471	62.96791444
55	Eglisau	5025	2481	433	240	55.42725173
56	Embrach	9139	4504	840	477	56.78571429
57	Freienstein-Teufen	2305	1131	169	115	68.04733728
58	Glattfelden	4955	2467	469	300	63.96588486
59	Hochfelden	1994	1011	149	98	65.77181208
60	Höri	2645	1274	233	119	51.07296137
61	Hüntwangen	1014	489	56	28	50
62	Kloten	18452	9086	1914	1143	59.71786834
63	Lufingen	2072	998	168	90	53.57142857
64	Nürensdorf	5468	2726	429	268	62.47086247
65	Oberembrach	1079	534	87	58	66.66666667
66	Opfikon	18617	8918	2619	1484	56.66284842
67	Rafz	4344	2162	380	228	60
68	Rorbas	2743	1364	286	165	57.69230769
69	Wallisellen	15662	7808	1750	1094	62.51428571
70	Wasterkingen	573	289	35	25	71.42857143
71	Wil (ZH)	1381	678	94	59	62.76595745
72	Winkel	4246	2108	319	208	65.20376176
81	Bachs	585	285	41	26	63.41463415
82	Boppelsen	1323	655	83	52	62.65060241
83	Buchs (ZH)	6294	3097	667	395	59.22038981
84	Dällikon	3952	1914	393	206	52.4173028
85	Dänikon	1890	931	173	86	49.71098266
86	Dielsdorf	5921	2980	618	351	56.7961165
87	Hüttikon	881	443	69	27	39.13043478
88	Neerach	3047	1487	209	135	64.59330144
89	Niederglatt	4768	2385	425	251	59.05882353
90	Niederhasli	9100	4560	909	547	60.1760176
91	Niederweningen	2853	1414	221	145	65.61085973
92	Oberglatt	6818	3361	875	480	54.85714286
93	Oberweningen	1800	884	141	90	63.82978723
94	Otelfingen	2784	1389	218	130	59.63302752
95	Regensberg	468	228	22	13	59.09090909
96	Regensdorf	18036	8919	1953	1090	55.81157194
97	Rümlang	7774	3843	899	520	57.84204672
98	Schleinikon	722	349	63	45	71.42857143
99	Schöfflisdorf	1396	715	94	65	69.14893617
100	Stadel	2205	1107	176	116	65.90909091
101	Steinmaur	3395	1660	343	214	62.39067055
102	Weiach	1379	683	140	75	53.57142857
111	Bäretswil	4974	2483	406	264	65.02463054
112	Bubikon	7019	3562	534	365	68.35205993
113	Dürnten	7421	3614	604	377	62.41721854
114	Fischenthal	2420	1188	212	131	61.79245283
115	Gossau (ZH)	9758	4906	807	505	62.57744734
116	Grüningen	3371	1682	309	201	65.04854369
117	Hinwil	10848	5480	1008	644	63.88888889
118	Rüti (ZH)	12047	6029	1219	773	63.41263331
119	Seegräben	1432	706	130	84	64.61538462
120	Wald (ZH)	9447	4731	866	518	59.81524249
121	Wetzikon (ZH)	24407	12290	2795	1786	63.89982111
131	Adliswil	18605	9378	1861	1043	56.04513702
132	Hirzel	2148	1078	132	97	73.48484848
133	Horgen	20207	10301	1785	1071	60
134	Hütten	898	446	74	50	67.56756757
135	Kilchberg (ZH)	8098	4178	616	415	67.37012987
136	Langnau am Albis	7452	3802	605	380	62.80991736
137	Oberrieden	5037	2593	361	249	68.97506925
138	Richterswil	13198	6716	1072	718	66.97761194
139	Rüschlikon	5674	2920	416	286	68.75
140	Schönenberg (ZH)	1864	928	135	95	70.37037037
141	Thalwil	17747	9082	1530	1025	66.99346405
142	Wädenswil	21621	11043	1917	1298	67.70996348
151	Erlenbach (ZH)	5470	2807	359	262	72.98050139
152	Herrliberg	6295	3258	434	308	70.96774194
153	Hombrechtikon	8485	4317	673	421	62.55572065
154	Küsnacht (ZH)	13830	7214	957	673	70.32392894
155	Männedorf	10593	5511	700	496	70.85714286
156	Meilen	13531	7090	938	638	68.01705757
157	Oetwil am See	4669	2333	430	235	54.65116279
158	Stäfa	14178	7296	1011	714	70.6231454
159	Uetikon am See	5988	3080	439	312	71.07061503
160	Zumikon	5172	2732	301	220	73.089701
161	Zollikon	12753	6657	879	619	70.42093288
172	Fehraltorf	6307	3190	602	372	61.79401993
173	Hittnau	3614	1800	301	201	66.77740864
174	Illnau-Effretikon	16327	8265	1681	981	58.35812017
175	Kyburg	407	198	16	13	81.25
176	Lindau	5388	2648	454	272	59.91189427
177	Pfäffikon	11454	5823	990	644	65.05050505
178	Russikon	4292	2127	307	204	66.4495114
180	Weisslingen	3261	1623	192	127	66.14583333
181	Wila	1931	952	157	103	65.60509554
182	Wildberg	1006	506	63	45	71.42857143
191	Dübendorf	26844	13586	2845	1753	61.6168717
192	Egg	8388	4349	662	449	67.82477341
193	Fällanden	8356	4265	680	436	64.11764706
194	Greifensee	5374	2711	490	297	60.6122449
195	Maur	9890	5027	680	492	72.35294118
196	Mönchaltorf	3677	1873	266	157	59.02255639
197	Schwerzenbach	5001	2507	504	319	63.29365079
198	Uster	33886	17156	3330	2190	65.76576577
199	Volketswil	18536	9250	1736	943	54.3202765
200	Wangen-Brüttisellen	7727	3789	782	473	60.4859335
211	Altikon	655	329	37	23	62.16216216
213	Brütten	2016	990	147	92	62.58503401
214	Dägerlen	1014	487	78	49	62.82051282
215	Dättlikon	745	365	54	39	72.22222222
216	Dinhard	1494	744	97	55	56.70103093
217	Elgg	4218	2081	360	201	55.83333333
218	Ellikon an der Thur	885	440	69	44	63.76811594
219	Elsau	3480	1748	272	161	59.19117647
220	Hagenbuch	1104	531	101	64	63.36633663
221	Hettlingen	3114	1578	179	133	74.30167598
222	Hofstetten (ZH)	481	237	42	27	64.28571429
223	Neftenbach	5513	2733	456	305	66.88596491
224	Pfungen	3757	1860	397	217	54.65994962
225	Rickenbach (ZH)	2598	1318	202	131	64.85148515
226	Schlatt (ZH)	738	357	42	20	47.61904762
227	Seuzach	7211	3657	604	397	65.72847682
228	Turbenthal	4472	2201	399	224	56.14035088
230	Winterthur	108268	55123	13015	8667	66.59239339
231	Zell (ZH)	5700	2842	509	292	57.36738703
241	Aesch (ZH)	1197	591	80	52	65
242	Birmensdorf (ZH)	6254	3176	546	371	67.94871795
243	Dietikon	26711	13190	3354	1751	52.20632081
244	Geroldswil	4868	2408	409	206	50.36674817
245	Oberengstringen	6575	3281	624	364	58.33333333
246	Oetwil an der Limmat	2369	1170	164	107	65.24390244
247	Schlieren	18453	8936	2319	1284	55.3686934
248	Uitikon	4112	2044	224	150	66.96428571
249	Unterengstringen	3648	1824	305	190	62.29508197
250	Urdorf	9688	4922	931	574	61.65413534
251	Weiningen (ZH)	4513	2169	418	233	55.74162679
261	Zürich	396955	199714	50453	36919	73.17503419
297	Bauma	4842	2408	425	278	65.41176471
298	Wiesendangen	6226	3151	456	312	68.42105263
301	Aarberg	4529	2281	451	315	69.84478936
302	Bargen (BE)	995	501	84	56	66.66666667
303	Grossaffoltern	2999	1513	221	146	66.06334842
304	Kallnach	1905	961	156	101	64.74358974
305	Kappelen	1350	658	101	72	71.28712871
306	Lyss	14341	7227	1526	1004	65.79292267
307	Meikirch	2386	1236	184	122	66.30434783
309	Radelfingen	1256	637	113	82	72.56637168
310	Rapperswil (BE)	2425	1232	205	138	67.31707317
311	Schüpfen	3719	1881	326	243	74.5398773
312	Seedorf (BE)	3002	1516	239	167	69.87447699
321	Aarwangen	4408	2212	364	227	62.36263736
322	Auswil	471	226	52	33	63.46153846
323	Bannwil	699	336	53	35	66.03773585
324	Bleienbach	677	331	35	19	54.28571429
325	Busswil bei Melchnau	170	77	10	8	80
326	Gondiswil	737	383	43	28	65.11627907
329	Langenthal	15447	7901	1623	1083	66.72828096
331	Lotzwil	2514	1244	207	123	59.42028986
332	Madiswil	3218	1637	268	175	65.29850746
333	Melchnau	1557	763	125	68	54.4
334	Obersteckholz	410	205	27	18	66.66666667
335	Oeschenbach	241	116	21	11	52.38095238
336	Reisiswil	188	97	13	8	61.53846154
337	Roggwil (BE)	3928	1985	292	172	58.90410959
338	Rohrbach	1413	720	130	85	65.38461538
339	Rohrbachgraben	394	193	27	16	59.25925926
340	Rütschelen	571	291	37	21	56.75675676
341	Schwarzhäusern	501	250	34	25	73.52941176
342	Thunstetten	3258	1616	279	163	58.42293907
344	Ursenbach	911	463	69	44	63.76811594
345	Wynau	1620	789	142	71	50
351	Bern	131554	68414	17599	13560	77.04983238
352	Bolligen	6138	3203	374	272	72.72727273
353	Bremgarten bei Bern	4385	2273	299	203	67.89297659
354	Kirchlindach	2900	1511	209	160	76.55502392
355	Köniz	40214	20921	3853	2620	67.99896185
356	Muri bei Bern	12984	6781	887	613	69.10935738
357	Oberbalm	883	443	64	42	65.625
358	Stettlen	3149	1594	283	199	70.3180212
359	Vechigen	5252	2671	382	264	69.10994764
360	Wohlen bei Bern	8987	4630	525	357	68
361	Zollikofen	10217	5264	970	607	62.57731959
362	Ittigen	11390	5812	1066	684	64.16510319
363	Ostermundigen	16788	8636	1690	1067	63.13609467
371	Biel/Bienne	54163	27724	5981	3872	64.73833807
372	Evilard	2552	1299	124	82	66.12903226
381	Arch	1540	781	119	76	63.86554622
382	Büetigen	833	386	59	36	61.01694915
383	Büren an der Aare	3537	1743	283	180	63.60424028
385	Diessbach bei Büren	996	489	97	59	60.82474227
386	Dotzigen	1455	726	105	65	61.9047619
387	Lengnau (BE)	4956	2518	429	250	58.27505828
388	Leuzigen	1251	643	89	59	66.29213483
389	Meienried	52	23	4	3	75
390	Meinisberg	1328	661	90	62	68.88888889
391	Oberwil bei Büren	830	420	58	26	44.82758621
392	Pieterlen	4034	2013	389	215	55.26992288
393	Rüti bei Büren	840	430	69	48	69.56521739
394	Wengi	609	288	37	23	62.16216216
401	Aefligen	1067	532	100	66	66
402	Alchenstorf	602	302	45	33	73.33333333
403	Bäriswil	1023	524	69	45	65.2173913
404	Burgdorf	16228	8352	1796	1227	68.31848552
405	Ersigen	1687	853	136	101	74.26470588
406	Hasle bei Burgdorf	3353	1673	327	197	60.24464832
407	Heimiswil	1607	793	98	63	64.28571429
408	Hellsau	201	103	18	10	55.55555556
409	Hindelbank	2414	1195	238	158	66.38655462
410	Höchstetten	270	136	22	11	50
411	Kernenried	527	268	44	25	56.81818182
412	Kirchberg (BE)	5817	2951	501	344	68.66267465
413	Koppigen	2126	1097	162	121	74.69135802
414	Krauchthal	2335	1133	195	129	66.15384615
415	Lyssach	1422	701	138	101	73.1884058
416	Mötschwil	137	65	12	8	66.66666667
417	Niederösch	235	123	14	7	50
418	Oberburg	2909	1464	264	160	60.60606061
419	Oberösch	104	48	7	5	71.42857143
420	Rüdtligen-Alchenflüh	2435	1213	279	160	57.34767025
421	Rumendingen	84	38	9	7	77.77777778
422	Rüti bei Lyssach	171	83	18	13	72.22222222
423	Willadingen	203	99	8	6	75
424	Wynigen	2011	1014	149	91	61.0738255
431	Corgémont	1677	844	133	76	57.14285714
432	Cormoret	482	244	36	21	58.33333333
433	Cortébert	710	345	54	28	51.85185185
434	Courtelary	1360	678	112	74	66.07142857
435	La Ferrière	544	264	48	35	72.91666667
437	Mont-Tramelan	116	65	15	7	46.66666667
438	Orvin	1195	592	79	48	60.75949367
441	Renan (BE)	896	435	82	57	69.51219512
442	Romont (BE)	195	97	16	13	81.25
443	Saint-Imier	5101	2606	476	291	61.13445378
444	Sonceboz-Sombeval	1932	940	195	116	59.48717949
445	Sonvilier	1257	616	124	82	66.12903226
446	Tramelan	4417	2189	384	216	56.25
