CountryName,CountryCode,IndicatorName,IndicatorCode,QQCH,POP
Aruba,ABW,Population,total,SPPOPTOTL,106314
Afghanistan,AFG,Population,total,SPPOPTOTL,38041754
Angola,AGO,Population,total,SPPOPTOTL,31825295
Albania,ALB,Population,total,SPPOPTOTL,2854191
Andorra,AND,Population,total,SPPOPTOTL,77142
ArabWorld,ARB,Population,total,SPPOPTOTL,427870270
UnitedArabEmirates,ARE,Population,total,SPPOPTOTL,9770529
Argentina,ARG,Population,total,SPPOPTOTL,44938712
Armenia,ARM,Population,total,SPPOPTOTL,2957731
AmericanSamoa,ASM,Population,total,SPPOPTOTL,55312
AntiguaandBarbuda,ATG,Population,total,SPPOPTOTL,97118
Australia,AUS,Population,total,SPPOPTOTL,25364307
Austria,AUT,Population,total,SPPOPTOTL,8877067
Azerbaijan,AZE,Population,total,SPPOPTOTL,10023318
Burundi,BDI,Population,total,SPPOPTOTL,11530580
Belgium,BEL,Population,total,SPPOPTOTL,11484055
Benin,BEN,Population,total,SPPOPTOTL,11801151
BurkinaFaso,BFA,Population,total,SPPOPTOTL,20321378
Bangladesh,BGD,Population,total,SPPOPTOTL,163046161
Bulgaria,BGR,Population,total,SPPOPTOTL,6975761
Bahrain,BHR,Population,total,SPPOPTOTL,1641172
Bahamas,The,BHS,Population,total,385640
BosniaandHerzegovina,BIH,Population,total,SPPOPTOTL,3301000
Belarus,BLR,Population,total,SPPOPTOTL,9466856
Belize,BLZ,Population,total,SPPOPTOTL,390353
Bermuda,BMU,Population,total,SPPOPTOTL,63918
Bolivia,BOL,Population,total,SPPOPTOTL,11513100
Brazil,BRA,Population,total,SPPOPTOTL,211049527
Barbados,BRB,Population,total,SPPOPTOTL,287025
BruneiDarussalam,BRN,Population,total,SPPOPTOTL,433285
Bhutan,BTN,Population,total,SPPOPTOTL,763092
Botswana,BWA,Population,total,SPPOPTOTL,2303697
CentralAfricanRepublic,CAF,Population,total,SPPOPTOTL,4745185
Canada,CAN,Population,total,SPPOPTOTL,37589262
CentralEuropeandtheBaltics,CEB,Population,total,SPPOPTOTL,102378579
Switzerland,CHE,Population,total,SPPOPTOTL,8574832
ChannelIslands,CHI,Population,total,SPPOPTOTL,172259
Chile,CHL,Population,total,SPPOPTOTL,18952038
China,CHN,Population,total,SPPOPTOTL,1397715000
Coted'Ivoire,CIV,Population,total,SPPOPTOTL,25716544
Cameroon,CMR,Population,total,SPPOPTOTL,25876380
Congo,DemRep,COD,Population,total,84068091
Congo,Rep,COG,Population,total,5244363
Colombia,COL,Population,total,SPPOPTOTL,50339443
Comoros,COM,Population,total,SPPOPTOTL,850886
CaboVerde,CPV,Population,total,SPPOPTOTL,549935
CostaRica,CRI,Population,total,SPPOPTOTL,5047561
Caribbeansmallstates,CSS,Population,total,SPPOPTOTL,7401383
Cuba,CUB,Population,total,SPPOPTOTL,11333483
Curacao,CUW,Population,total,SPPOPTOTL,157538
CaymanIslands,CYM,Population,total,SPPOPTOTL,64948
Cyprus,CYP,Population,total,SPPOPTOTL,1198575
CzechRepublic,CZE,Population,total,SPPOPTOTL,10669709
Germany,DEU,Population,total,SPPOPTOTL,83132799
Djibouti,DJI,Population,total,SPPOPTOTL,973560
Dominica,DMA,Population,total,SPPOPTOTL,71808
Denmark,DNK,Population,total,SPPOPTOTL,5818553
DominicanRepublic,DOM,Population,total,SPPOPTOTL,10738958
Algeria,DZA,Population,total,SPPOPTOTL,43053054
EastAsia&Pacific(excludinghighincome),EAP,Population,total,SPPOPTOTL,2093675040
Early-demographicdividend,EAR,Population,total,SPPOPTOTL,3290290613
EastAsia&Pacific,EAS,Population,total,SPPOPTOTL,2340628292
Europe&CentralAsia(excludinghighincome),ECA,Population,total,SPPOPTOTL,399404587
Europe&CentralAsia,ECS,Population,total,SPPOPTOTL,921140092
Ecuador,ECU,Population,total,SPPOPTOTL,17373662
Egypt,ArabRep,EGY,Population,total,98423595
Euroarea,EMU,Population,total,SPPOPTOTL,342597698
Eritrea,ERI,Population,total,SPPOPTOTL,
Spain,ESP,Population,total,SPPOPTOTL,47076781
Estonia,EST,Population,total,SPPOPTOTL,1326590
Ethiopia,ETH,Population,total,SPPOPTOTL,112078730
EuropeanUnion,EUU,Population,total,SPPOPTOTL,447512041
Fragileandconflictaffectedsituations,FCS,Population,total,SPPOPTOTL,798138587
Finland,FIN,Population,total,SPPOPTOTL,5520314
Fiji,FJI,Population,total,SPPOPTOTL,889953
France,FRA,Population,total,SPPOPTOTL,67059887
FaroeIslands,FRO,Population,total,SPPOPTOTL,48678
Micronesia,FedSts,FSM,Population,total,112640
Gabon,GAB,Population,total,SPPOPTOTL,2172579
UnitedKingdom,GBR,Population,total,SPPOPTOTL,66834405
Georgia,GEO,Population,total,SPPOPTOTL,3720382
Ghana,GHA,Population,total,SPPOPTOTL,30417856
Gibraltar,GIB,Population,total,SPPOPTOTL,33701
Guinea,GIN,Population,total,SPPOPTOTL,12771246
Gambia,The,GMB,Population,total,2280102
Guinea-Bissau,GNB,Population,total,SPPOPTOTL,1920922
EquatorialGuinea,GNQ,Population,total,SPPOPTOTL,1355986
Greece,GRC,Population,total,SPPOPTOTL,10716322
Grenada,GRD,Population,total,SPPOPTOTL,112003
Greenland,GRL,Population,total,SPPOPTOTL,56225
Guatemala,GTM,Population,total,SPPOPTOTL,16604026
Guam,GUM,Population,total,SPPOPTOTL,167294
Guyana,GUY,Population,total,SPPOPTOTL,782766
Highincome,HIC,Population,total,SPPOPTOTL,1235852838
HongKongSAR,China,HKG,Population,total,7451000
Honduras,HND,Population,total,SPPOPTOTL,9746117
Heavilyindebtedpoorcountries(HIPC),HPC,Population,total,SPPOPTOTL,801708035
Croatia,HRV,Population,total,SPPOPTOTL,4067500
Haiti,HTI,Population,total,SPPOPTOTL,11263077
Hungary,HUN,Population,total,SPPOPTOTL,9769949
IBRDonly,IBD,Population,total,SPPOPTOTL,4816235953
IDA&IBRDtotal,IBT,Population,total,SPPOPTOTL,6486934853
IDAtotal,IDA,Population,total,SPPOPTOTL,1670698900
IDAblend,IDB,Population,total,SPPOPTOTL,561572202
Indonesia,IDN,Population,total,SPPOPTOTL,270625568
IDAonly,IDX,Population,total,SPPOPTOTL,1109126698
IsleofMan,IMN,Population,total,SPPOPTOTL,84584
India,IND,Population,total,SPPOPTOTL,1366417754
Notclassified,INX,Population,total,SPPOPTOTL,
Ireland,IRL,Population,total,SPPOPTOTL,4941444
Iran,IslamicRep,IRN,Population,total,81800269
Iraq,IRQ,Population,total,SPPOPTOTL,39309783
Iceland,ISL,Population,total,SPPOPTOTL,361313
Israel,ISR,Population,total,SPPOPTOTL,9053300
Italy,ITA,Population,total,SPPOPTOTL,60297396
Jamaica,JAM,Population,total,SPPOPTOTL,2948279
Jordan,JOR,Population,total,SPPOPTOTL,10101694
Japan,JPN,Population,total,SPPOPTOTL,126264931
Kazakhstan,KAZ,Population,total,SPPOPTOTL,18513930
Kenya,KEN,Population,total,SPPOPTOTL,52573973
KyrgyzRepublic,KGZ,Population,total,SPPOPTOTL,6456900
Cambodia,KHM,Population,total,SPPOPTOTL,16486542
Kiribati,KIR,Population,total,SPPOPTOTL,117606
StKittsandNevis,KNA,Population,total,SPPOPTOTL,52834
Korea,Rep,KOR,Population,total,51606633
Kuwait,KWT,Population,total,SPPOPTOTL,4207083
